Id,SalePrice
1461,129998.21100266105
1462,164399.8503634697
1463,179876.46463344985
1464,175128.99027755368
1465,188339.06602712814
1466,186357.7040603473
1467,186160.81709743373
1468,163360.88127070508
1469,178833.76265696366
1470,122725.37211601439
1471,207840.2130178745
1472,90152.6839178968
1473,102670.87390754247
1474,146287.529941961
1475,133147.15801225964
1476,369515.78351974156
1477,284515.36921956454
1478,305211.8466418296
1479,251455.4896059915
1480,484056.35175817326
1481,307727.781335286
1482,210543.95493005647
1483,168307.55071335897
1484,175870.3382784195
1485,180366.72457288083
1486,197941.1882634412
1487,289810.6296872983
1488,240247.8943771587
1489,217930.09061320886
1490,182510.33778506986
1491,190686.91309460596
1492,100405.13683094736
1493,210801.643435734
1494,283242.3312463282
1495,290350.5901146526
1496,225600.80554633428
1497,168688.87600178565
1498,153142.06421533047
1499,155721.70532518692
1500,148776.553366293
1501,175043.10907325373
1502,157939.08369418123
1503,333290.2465823726
1504,244141.1240413539
1505,214584.7741692233
1506,185505.04980115112
1507,243679.449601571
1508,198439.3418063599
1509,167784.24213577894
1510,149958.73026411375
1511,141143.92395179733
1512,169673.8379453434
1513,146993.62453852934
1514,182270.33183631618
1515,182961.34848904356
1516,167098.86307371757
1517,156717.40587212695
1518,121563.86979183859
1519,237601.66049684546
1520,132821.3804914574
1521,137789.52379569906
1522,168774.0974782518
1523,104196.23396667358
1524,130387.9396641921
1525,127928.1362386051
1526,130141.24145607318
1527,106677.37480370727
1528,138145.60742248094
1529,148555.25316230077
1530,171059.5562751967
1531,106093.37683397888
1532,101071.3486241746
1533,167745.17717200698
1534,120630.38314733494
1535,146036.11481719033
1536,121438.04281619823
1537,77075.6205029054
1538,178022.11088057168
1539,238062.23467595543
1540,92166.08785337055
1541,149406.49312214623
1542,131151.29691659915
1543,195640.30962667798
1544,87884.14256055292
1545,105097.81540111049
1546,128288.9533437084
1547,127159.7356500159
1548,135368.52827364625
1549,112920.88526745643
1550,122272.11762460576
1551,105744.3122708119
1552,134464.10628106302
1553,149584.79774177435
1554,100437.5370154699
1555,172037.15734656117
1556,83749.60104211363
1557,98162.96587379854
1558,98592.9057135087
1559,86708.63765724722
1560,127103.92955635618
1561,143909.2759248032
1562,130619.4942874879
1563,121694.7565011647
1564,144683.3186544116
1565,136155.02897590035
1566,254471.53387323627
1567,79725.48013357943
1568,223992.1287500678
1569,115014.59261567735
1570,141507.96286121954
1571,123520.9503043267
1572,155193.674949737
1573,263518.498860785
1574,111760.4331671757
1575,224976.6936075642
1576,227715.8517959346
1577,204062.99983411038
1578,153293.30441779812
1579,145622.6499354967
1580,197901.89483771095
1581,151289.2532461778
1582,128010.29713973164
1583,343658.8390097612
1584,233217.66815901638
1585,141979.20353975796
1586,65381.362681191706
1587,110287.7062063221
1588,147259.72478861976
1589,103003.92424789313
1590,139871.07063330887
